,x,y,z,radii,Neisseria,Haemophilus,Yersinia,Stenotrophomonas,Acinetobacter,Streptococcus,Bacteroides,Unclassified Enterobacteriaceae,Enterobacter,Unclassified Pseudomonadaceae,Achromobacter,Pseudomonas,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__5-7N15,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Tepidimonas,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__Methylobacillus,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Salmonella,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__;g__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Rahnella,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Serratia,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__0319-6G20;g__,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Cloacibacterium,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Pantoea,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__
F5,263.611786,-175.571268,127.809738,20,0,0,0,0.00030245,0.000100817,0,0.000403266,0.00030245,0.000201633,0.0006049,0.002722049,0.994455086,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000403266,0.000100817,0.000100817,0,0.000100817,0
F8,237.012447,-200.048422,127.809738,20,0,0,0,0,0,0,0.000100817,0.00030245,0.000100817,0.000403266,0.000403266,0.998286118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0.000201633,0,0,0.000100817
F9,232.760651,-158.979417,127.809738,20,0,0,0,0.000201633,0,0.000100817,0.000201633,0.000201633,0.000100817,0.000403266,0.000201633,0.997882851,0,0,0,0,0,0,0,0,0.000100817,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0.000100817,0.000100817,0,0,0.000100817,0.000100817,0,0
G1,270.98395,-234.274311,100,20,0,0,0.000201633,0,0,0.0006049,0.00030245,0.000100817,0.000100817,0.0006049,0.000504083,0.996572235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0.000403266,0.000100817,0.000201633,0,0,0.000100817,0,0,0,0.000100817,0,0
G10,248.063937,-176.519576,100,20,0,0,0.000201633,0,0,0.000100817,0.00030245,0.000201633,0.00030245,0.00030245,0.000403266,0.997580401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000403266,0,0,0,0,0,0,0,0,0,0,0.000201633,0,0
G12,204.864512,-115.569434,100,20,0,0,0,0,0.000100817,0,0.00030245,0.000403266,0.000100817,0.000705716,0.007258796,0.990422422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0.000100817,0,0,0,0.000100817,0.000100817,0,0,0,0,0,0,0,0.000201633,0,0,0.000100817
G2,295.904017,-149.400762,100,20,0,0,0,0.000100817,0.000201633,0,0.000504083,0.000403266,0.000201633,0.000201633,0.001915516,0.995463252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000100817,0,0,0.000100817,0,0,0,0,0,0,0.000100817,0,0,0.000201633,0.000201633,0.000100817,0,0,0,0.000100817,0
G3,234.047778,-61.621374,100,20,0,0,0.000201633,0.000201633,0.000201633,0.000100817,0,0.00030245,0.00030245,0.000100817,0.003730215,0.993648553,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201633,0,0,0,0,0.000100817,0,0,0,0,0.000100817,0,0,0.000100817,0.000100817,0.000100817,0.000100817,0.000201633,0,0,0,0.000100817
G4,273.532702,-189.505907,100,20,0,0,0.000100817,0.000201633,0.000403266,0,0.000201633,0.000403266,0.00030245,0.000201633,0.003629398,0.993346103,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0.000201633,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000201633,0,0.00030245,0,0,0,0.000201633,0,0
G5,277.967914,-137.645402,100,20,0,0,0.000403266,0.000100817,0.00030245,0.000100817,0.000201633,0.000403266,0,0.000201633,0.010384111,0.987397923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0.000403266
G6,245.603439,-80.18103,100,20,0,0,0.000100817,0.00030245,0,0,0.000201633,0.000201633,0.000201633,0.00030245,0.003931848,0.99435427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201633,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0.000100817,0,0,0
G7,259.729728,-183.652804,100,20,0,0,0,0.000201633,0,0,0.000100817,0.00030245,0.000403266,0.00030245,0.001713882,0.996572235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0.000100817,0,0,0,0,0,0,0.000100817,0.000100817,0,0,0,0,0,0
G8,248.669106,-134.362626,100,20,0,0,0.000100817,0.000100817,0,0,0.000201633,0.00030245,0.00030245,0.0006049,0.001008166,0.997277951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0
G9,221.237994,-93.935253,100,20,0,0.000100817,0.000100817,0,0,0,0.000201633,0,0.000100817,0.00030245,0.002016332,0.996269785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000100817,0.000201633,0,0,0,0,0,0.000100817,0.00030245
H1,292.736767,-204.543439,73.353192,20,0.000100817,0.000100817,0,0.000201633,0.00030245,0,0.0006049,0.000100817,0.00030245,0.000201633,0.001108983,0.995564069,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0.000201633,0,0,0,0,0,0,0,0,0.000100817,0,0,0.000100817,0,0,0,0.000100817,0.000100817,0,0.000403266,0,0.000100817,0.000201633,0,0
H10,259.772736,-150.16864,73.353192,20,0,0,0.000100817,0,0.000504083,0,0.000100817,0.00030245,0.000100817,0.000201633,0.004335114,0.993547737,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0.000100817,0,0.000100817,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000100817,0,0,0.000201633
H12,205.569437,-106.531349,73.353192,20,0,0,0.000705716,0,0.001411433,0,0.000201633,0.000504083,0.000201633,0.000504083,0.013912693,0.980844843,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000100817,0,0,0.000100817,0,0,0,0,0.000201633,0,0,0,0,0,0,0.000100817,0,0,0.00030245,0,0,0,0,0,0,0,0,0.000201633,0.000201633,0,0,0.000403266
H13,245.302236,-190.82054,73.353192,20,0,0,0.000100817,0.000201633,0,0,0.000100817,0.000403266,0.000504083,0.000705716,0.007762879,0.989615889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0.000201633,0,0,0.000100817,0,0.000201633
H14,235.295347,-164.022033,73.353192,20,0,0,0.000806533,0.000100817,0.000504083,0,0.000201633,0.00030245,0.000403266,0.000705716,0.00090735,0.994959169,0,0,0,0,0,0,0,0,0,0,0,0,0.000201633,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0.000100817,0,0,0.000201633,0.000100817,0.000100817,0.000100817,0.000100817,0,0
H15,212.221219,-141.626086,73.353192,20,0,0,0.000100817,0.00030245,0.000100817,0.000201633,0.000201633,0.000201633,0.000100817,0.000201633,0.003427765,0.99405182,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201633,0,0,0.000201633,0,0,0,0,0.000100817,0,0,0,0.000100817,0.000100817,0,0,0,0,0.000100817,0.000100817,0,0.000100817
H16,188.384498,-134.737588,73.353192,20,0,0,0.000100817,0.000100817,0,0,0,0.000201633,0.000201633,0.000705716,0.000403266,0.997479585,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0.000100817,0,0.00030245,0.000100817,0,0
H2,300.952529,-151.744243,73.353192,20,0,0,0.0006049,0.000100817,0.000100817,0,0.000201633,0.000504083,0.000504083,0.0006049,0,0.996068152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030245,0,0,0.000100817,0,0,0,0,0.000201633,0,0,0,0,0,0,0,0.000100817,0,0,0,0.000100817,0.000100817,0.000100817,0.000201633,0,0,0.000100817,0,0
H3,283.297759,-88.40729,73.353192,20,0,0,0,0,0,0,0.000100817,0.000201633,0.000403266,0.00030245,0.00030245,0.997580401,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000100817,0,0,0,0,0,0,0,0,0,0.000201633,0,0.000403266,0.000100817,0.000100817,0
H4,235.836995,-65.964736,73.353192,20,0.000100817,0,0,0.000100817,0.000201633,0,0,0.000100817,0.000100817,0,0.001411433,0.997378768,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0.000201633,0,0.000100817,0,0.000100817,0,0
H5,275.463339,-202.257007,73.353192,20,0,0,0,0.000201633,0.000201633,0.000100817,0.00030245,0.000403266,0.000201633,0.000806533,0.001108983,0.995564069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201633,0.000100817,0,0,0.000100817,0.000100817,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000201633,0,0,0,0.000100817,0,0.000100817
H6,280.868686,-156.75864,73.353192,20,0,0,0,0.000100817,0.000100817,0,0.000201633,0.000100817,0.00030245,0.00030245,0.000504083,0.998084484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201633,0,0,0,0,0.000100817,0,0
H7,272.424365,-104.341362,73.353192,20,0,0,0.000100817,0.000100817,0,0,0.000100817,0.000100817,0.000201633,0.0006049,0.02621232,0.971065632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0.000100817,0,0,0.000201633,0,0.001008166
H8,223.086644,-85.712567,73.353192,20,0,0.000100817,0,0.000201633,0.000100817,0,0,0,0.00030245,0.000403266,0.010484928,0.987297107,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000100817,0,0.000100817,0,0,0,0,0,0,0,0,0,0.000100817,0,0.0006049
H9,263.594092,-192.928692,73.353192,20,0,0,0.00030245,0,0.000100817,0.000100817,0,0.000403266,0.000100817,0.000201633,0.004335114,0.993648553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0.000100817,0.00030245,0,0,0.000100817
I1,287.45401,-205.617355,46.878295,20,0,0.000100817,0.000201633,0.000403266,0.000403266,0,0.000403266,0.000201633,0.000403266,0.000705716,0.000403266,0.995664886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0.000100817,0.000100817,0,0,0,0,0,0,0,0.000201633,0.000100817,0.000100817,0.000100817,0,0.000201633,0,0.000100817
I2,299.649475,-171.547943,46.878295,20,0,0,0.000100817,0.00030245,0.00030245,0,0.000100817,0,0.000201633,0,0.000201633,0.998588567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0,0,0.000100817,0,0,0,0,0,0,0
I3,298.931488,-131.334936,46.878295,20,0,0.000100817,0.000100817,0.00030245,0,0,0.000201633,0.000100817,0,0.000403266,0.000201633,0.998386934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201633,0,0
I4,280.715343,-103.015805,46.878295,20,0,0,0,0.000100817,0.000100817,0.000201633,0.000201633,0.000201633,0.000201633,0.000403266,0.00715798,0.990926505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0.000100817,0.000100817,0,0,0.000201633
I5,251.501275,-88.947074,46.878295,20,0,0,0,0.000100817,0,0,0.000201633,0.00030245,0.00030245,0.000504083,0.002016332,0.996168969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000201633,0,0,0.000100817,0,0,0
I6,221.08078,-89.461117,46.878295,20,0,0.000100817,0.000201633,0.000100817,0.000100817,0.000100817,0.00030245,0.000100817,0.000403266,0.000201633,0.010283295,0.986490574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201633,0,0,0,0,0.000100817,0,0,0.000100817,0,0.000100817,0,0,0,0,0,0.000403266,0.000100817,0,0.000100817,0,0,0.000100817,0,0,0.000100817,0.00030245
I7,199.673804,-109.060712,46.878295,20,0,0.000201633,0,0.000201633,0,0,0.000100817,0.00030245,0.000403266,0.000504083,0.002923682,0.99435427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0,0,0,0.000201633,0,0,0,0,0,0,0,0,0,0,0,0,0.000100817,0.000100817,0,0,0.000100817,0.000403266
